Dola,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN (Cost),TN,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,92,0,4,0,"0,9583333333",0,0,46,30,"0,3947368421",,,,,
DLF,40,0,59,0,"0,404040404",70,3,0,0,"0,9589041096",20,0,0,0,1
DX,10,18,65,0,"0,1075268817",21,6,31,10,"0,4558823529",18,2,0,0,"0,9"
OX,85,1,8,0,"0,9042553191",60,14,1,0,"0,8",20,0,0,0,1
SV,94,0,2,0,"0,9791666667",67,7,0,0,"0,9054054054",6,4,0,0,"0,6"
AVG,,,,,"0,670664521",,,,,"0,702985742",,,,,"0,875"
STD,,,,,"0,3939238508",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stocco 95,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,
DLF,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AVG,,,,,#VALUE!,,,,,#VALUE!,,,,,#VALUE!
STD,,,,,#VALUE!,,,,,,,,,,
,,,,,,,,,,,,,,,
Stocco 99,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,
DLF,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AVG,,,,,#VALUE!,,,,,#VALUE!,,,,,#VALUE!
STD,,,,,#VALUE!,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stocco 999,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,
DLF,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AVG,,,,,#VALUE!,,,,,#VALUE!,,,,,#VALUE!
STD,,,,,#VALUE!,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stocco 9999,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,96,0,0,0,1,0,1,46,29,"0,3815789474",,,,,
DLF,99,0,0,0,1,70,3,0,0,"0,9589041096",20,0,0,0,1
DX,15,18,60,0,"0,1612903226",51,16,1,0,"0,75",18,2,0,0,"0,9"
OX,93,1,0,0,"0,9893617021",61,14,0,0,"0,8133333333",20,0,0,0,1
SV,96,0,0,0,1,67,7,0,0,"0,9054054054",6,4,0,0,"0,6"
AVG,,,,,"0,8301304049",,,,,"0,7618443591",,,,,"0,875"
STD,,,,,"0,3739213486",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stocco 99999,,,,,,,,,,,,,,,
Tool,MNIST,,,,,SVHN,,,,,IMAGENET,,,,
,TP,FP,FN,,Accuracy,TP,FP,FN,TN,Accuracy,TP,FP,FN,TN,Accuracy
DJ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,
DLF,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
DX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AVG,,,,,#VALUE!,,,,,#VALUE!,,,,,#VALUE!
STD,,,,,#VALUE!,,,,,,,,,,
